ω/ω_0,角周波数[rad/s],周波数[Hz],gain_linear,ゲイン[dB],位相[deg]
0.1,3333.33333333333,530.516476972985,0.99009900990099,-0.0864274756528516,-11.4211862749993
0.2,6666.66666666667,1061.03295394597,0.961538461538461,-0.340666785975608,-22.6198649480404
0.3,10000,1591.54943091895,0.91743119266055,-0.748529958812473,-33.3984884679872
0.4,13333.3333333333,2122.06590789194,0.862068965517241,-1.28915978453837,-43.6028189727036
0.5,16666.6666666667,2652.58238486492,0.8,-1.93820026016113,-53.130102354156
0.7,23333.3333333333,3713.61533881089,0.671140939597316,-3.46372536824548,-69.9840403971173
0.9,30000,4774.64829275686,0.552486187845304,-5.15357149738369,-83.9744249916333
0.95,31666.6666666667,5039.90653124335,0.525624178712221,-5.58649330885221,-87.0623985712283
1,33333.3333333333,5305.16476972984,0.5,-6.02059991327962,-90
1.05,35000,5570.42300821634,0.475624256837099,-6.45472008939899,-92.7943620545928
1.1,36666.6666666667,5835.68124670283,0.452488687782805,-6.88784547370222,-95.4526219878125
1.2,40000,6366.19772367581,0.409836065573771,-7.74779652677459,-100.38885781547
1.5,50000,7957.74715459477,0.307692307692308,-10.2376672195775,-112.61986494804
2,66666.6666666667,10610.3295394597,0.2,-13.9794000867204,-126.869897645844
4,133333.333333333,21220.6590789194,0.0588235294117647,-24.6089784275655,-151.927513064147
10,333333.333333333,53051.6476972985,0.0099009900990099,-40.0864274756529,-168.578813725001
